dateRep;day;month;year;week;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2019;continentExp;Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
21/10/2020;21;10;2020;Week 43;1803;8;Austria;AT;AUT;8858775;Europe;202,951311
20/10/2020;20;10;2020;Week 43;1054;9;Austria;AT;AUT;8858775;Europe;188,795855
19/10/2020;19;10;2020;Week 43;1062;3;Austria;AT;AUT;8858775;Europe;191,2115388
18/10/2020;18;10;2020;Week 43;2040;6;Austria;AT;AUT;8858775;Europe;185,9850826
17/10/2020;17;10;2020;Week 42;1691;7;Austria;AT;AUT;8858775;Europe;172,3263092
16/10/2020;16;10;2020;Week 42;1396;6;Austria;AT;AUT;8858775;Europe;163,0812387
15/10/2020;15;10;2020;Week 42;1606;9;Austria;AT;AUT;8858775;Europe;153,6894209
14/10/2020;14;10;2020;Week 42;1171;10;Austria;AT;AUT;8858775;Europe;148,4968294
13/10/2020;13;10;2020;Week 42;608;5;Austria;AT;AUT;8858775;Europe;143,4284086
12/10/2020;12;10;2020;Week 42;1298;6;Austria;AT;AUT;8858775;Europe;141,2949307
11/10/2020;11;10;2020;Week 42;901;1;Austria;AT;AUT;8858775;Europe;132,5804076
10/10/2020;10;10;2020;Week 41;1181;4;Austria;AT;AUT;8858775;Europe;129,4422762
09/10/2020;9;10;2020;Week 41;1221;9;Austria;AT;AUT;8858775;Europe;128,2005695
08/10/2020;8;10;2020;Week 41;947;4;Austria;AT;AUT;8858775;Europe;122,1839363
07/10/2020;7;10;2020;Week 41;549;22;Austria;AT;AUT;8858775;Europe;118,9554989
06/10/2020;6;10;2020;Week 41;1268;5;Austria;AT;AUT;8858775;Europe;121,1905709
05/10/2020;5;10;2020;Week 41;599;4;Austria;AT;AUT;8858775;Europe;113,5710073
04/10/2020;4;10;2020;Week 41;830;6;Austria;AT;AUT;8858775;Europe;113,6838897
03/10/2020;3;10;2020;Week 40;872;1;Austria;AT;AUT;8858775;Europe;112,859848
02/10/2020;2;10;2020;Week 40;564;3;Austria;AT;AUT;8858775;Europe;112,2841476
01/10/2020;1;10;2020;Week 40;1146;3;Austria;AT;AUT;8858775;Europe;116,3253384
30/09/2020;30;9;2020;Week 40;722;6;Austria;AT;AUT;8858775;Europe;111,3359353
29/09/2020;29;9;2020;Week 40;419;3;Austria;AT;AUT;8858775;Europe;112,8937127
28/09/2020;28;9;2020;Week 40;526;0;Austria;AT;AUT;8858775;Europe;114,3611843
27/09/2020;27;9;2020;Week 40;623;1;Austria;AT;AUT;8858775;Europe;112,7582538
26/09/2020;26;9;2020;Week 39;1071;3;Austria;AT;AUT;8858775;Europe;111,3133588
25/09/2020;25;9;2020;Week 39;688;6;Austria;AT;AUT;8858775;Europe;110,5683348
24/09/2020;24;9;2020;Week 39;661;6;Austria;AT;AUT;8858775;Europe;108,4122805
23/09/2020;23;9;2020;Week 39;747;4;Austria;AT;AUT;8858775;Europe;109,462087
22/09/2020;22;9;2020;Week 39;593;1;Austria;AT;AUT;8858775;Europe;106,6174499
21/09/2020;21;9;2020;Week 39;609;1;Austria;AT;AUT;8858775;Europe;105,6918141
20/09/2020;20;9;2020;Week 39;757;2;Austria;AT;AUT;8858775;Europe;101,3006877
19/09/2020;19;9;2020;Week 38;821;5;Austria;AT;AUT;8858775;Europe;95,10344263
18/09/2020;18;9;2020;Week 38;922;0;Austria;AT;AUT;8858775;Europe;88,89490928
17/09/2020;17;9;2020;Week 38;704;1;Austria;AT;AUT;8858775;Europe;82,00908139
16/09/2020;16;9;2020;Week 38;860;0;Austria;AT;AUT;8858775;Europe;79,05156187
15/09/2020;15;9;2020;Week 38;549;1;Austria;AT;AUT;8858775;Europe;73,14781107
14/09/2020;14;9;2020;Week 38;384;2;Austria;AT;AUT;8858775;Europe;69,05017906
13/09/2020;13;9;2020;Week 38;495;4;Austria;AT;AUT;8858775;Europe;67,88749009
12/09/2020;12;9;2020;Week 37;1005;2;Austria;AT;AUT;8858775;Europe;64,26396426
11/09/2020;11;9;2020;Week 37;497;1;Austria;AT;AUT;8858775;Europe;57,23138922
10/09/2020;10;9;2020;Week 37;754;0;Austria;AT;AUT;8858775;Europe;54,18356375
09/09/2020;9;9;2020;Week 37;495;1;Austria;AT;AUT;8858775;Europe;49,23931356
08/09/2020;8;9;2020;Week 37;511;10;Austria;AT;AUT;8858775;Europe;46,9365121
07/09/2020;7;9;2020;Week 37;220;1;Austria;AT;AUT;8858775;Europe;44,64499889
06/09/2020;6;9;2020;Week 37;208;0;Austria;AT;AUT;8858775;Europe;43,74193949
05/09/2020;5;9;2020;Week 36;271;0;Austria;AT;AUT;8858775;Europe;43,83224543
04/09/2020;4;9;2020;Week 36;312;1;Austria;AT;AUT;8858775;Europe;43,8773984
03/09/2020;3;9;2020;Week 36;442;0;Austria;AT;AUT;8858775;Europe;43,83224543
02/09/2020;2;9;2020;Week 36;337;1;Austria;AT;AUT;8858775;Europe;43,64034531
01/09/2020;1;9;2020;Week 36;186;0;Austria;AT;AUT;8858775;Europe;41,61974991
31/08/2020;31;8;2020;Week 36;281;0;Austria;AT;AUT;8858775;Europe;43,40329222
30/08/2020;30;8;2020;Week 36;174;0;Austria;AT;AUT;8858775;Europe;42,05999136
29/08/2020;29;8;2020;Week 35;382;0;Austria;AT;AUT;8858775;Europe;43,03078022
