show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description;IMDB_titleID;IMDB_rating;IMDB_rating_votes;IMDB_title_name
81145628;Movie;Norm of the North: King Sized Adventure;Richard Finn, Tim Maltby;Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson;United States, India, South Korea, China;2019-09-09;2019;TV-PG;90 min;Children & Family Movies, Comedies;Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.;/title/tt9428190/;3.1;235; Norm of the North: King Sized Adventure
80117401;Movie;Jandino: Whatever it Takes;;Jandino Asporaat;United Kingdom;2016-09-09;2016;TV-MA;94 min;Stand-Up Comedy;"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of Sex on Fire"""" in his comedy show.""""";/title/tt6999080/;5.3;15; Jandino: Whatever it Takes
70234439;TV Show;Transformers Prime;;Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle;United States;2018-09-08;2013;TV-Y7-FV;1 Season;Kids' TV;With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.;/title/tt1659175/;7.8;4891; Transformers Prime
80058654;TV Show;Transformers: Robots in Disguise;;Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen;United States;2018-09-08;2016;TV-Y7;1 Season;Kids' TV;When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.;/title/tt3604232/;6.0;764; Transformers: Robots in Disguise
80125979;Movie;#realityhigh;Fernando Lebrija;Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis;United States;2017-09-08;2017;TV-14;99 min;Comedies;When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.;/title/tt6119504/;5.2;4866; #REALITYHIGH
70304989;Movie;Automata;Gabe Ibáñez;Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall;Bulgaria, United States, Spain, Canada;2017-09-08;2014;R;110 min;International Movies, Sci-Fi & Fantasy, Thrillers;In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.;/title/tt1971325/;6.1;52169; Automata
80164077;Movie;Fabrizio Copano: Solo pienso en mi;Rodrigo Toro, Francisco Schultz;Fabrizio Copano;Chile;2017-09-08;2017;TV-MA;60 min;Stand-Up Comedy;Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.;/title/tt8134310/;5.1;20; Fabrizio Copano: Solo pienso en mi
80117902;TV Show;Fire Chasers;;;United States;2017-09-08;2017;TV-MA;1 Season;Docuseries, Science & Nature TV;As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.;/title/tt7293754/;6.6;285; Fire Chasers
70304990;Movie;Good People;Henrik Ruben Genz;James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh;United States, United Kingdom, Denmark, Sweden;2017-09-08;2014;R;90 min;Action & Adventure, Thrillers;A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.;/title/tt1361318/;5.5;14755; Good People
70299204;Movie;Kidnapping Mr. Heineken;Daniel Alfredson;Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik;Netherlands, Belgium, United Kingdom, United States;2017-09-08;2015;R;95 min;Action & Adventure, Dramas, International Movies;"When beer magnate Alfred Freddy"""" Heineken is kidnapped in 1983""";/title/tt2917388/;6.1;18366; Kidnapping Mr. Heineken
80060297;Movie;Manhattan Romance;Tom O'Brien;Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier;United States;2017-09-08;2014;TV-14;98 min;Comedies, Independent Movies, Romantic Movies;A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.;/title/tt2608324/;5.5;112; Manhattan Romance
80046728;Movie;Moonwalkers;Antoine Bardou-Jacquet;Ron Perlman, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte;France, Belgium;2017-09-08;2015;R;96 min;Action & Adventure, Comedies, International Movies;A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.;/title/tt2718440/;6.1;8072; Moonwalkers
80046727;Movie;Rolling Papers;Mitch Dickman;;United States, Uruguay;2017-09-08;2015;TV-MA;79 min;Documentaries;As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.;/title/tt3621360/;6.2;429; Rolling Papers
70304988;Movie;Stonehearst Asylum;Brad Anderson;Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsley, Michael Caine, Jason Flemyng, Sophie Kennedy Clark, Sinéad Cusack, Edmund Kingsley;United States;2017-09-08;2014;PG-13;113 min;Horror Movies, Thrillers;In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.;/title/tt1772264/;6.8;48041; Stonehearst Asylum
80057700;Movie;The Runner;Austin Stark;Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier;United States;2017-09-08;2015;R;90 min;Dramas, Independent Movies;A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.;/title/tt3687398/;4.7;4723; The Runner
80045922;Movie;6 Years;Hannah Fidell;Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael;United States;2015-09-08;2015;NR;80 min;Dramas, Independent Movies, Romantic Movies;As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.;/title/tt3799372/;5.6;10589; 6 Years
80190843;TV Show;First and Last;;;;2018-09-07;2018;TV-MA;1 Season;Docuseries;Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.;/title/tt8893502/;6.7;285; First and Last
80988892;Movie;Next Gen;Kevin R. Adams, Joe Ksander;John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu;China, Canada, United States;2018-09-07;2018;TV-PG;106 min;Children & Family Movies, Comedies, Sci-Fi & Fantasy;When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.;/title/tt7133686/;6.6;12098; Next Gen
80239639;Movie;Sierra Burgess Is A Loser;Ian Samuels;Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz;United States;2018-09-07;2018;PG-13;106 min;Comedies, Romantic Movies;A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.;/title/tt3120280/;5.9;30674; Sierra Burgess Is a Loser
80152447;Movie;Cézanne et moi;Daniele Thompson;Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker;Belgium, France;2017-09-07;2016;R;114 min;Dramas, Independent Movies, International Movies;This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.;/title/tt5078354/;6.0;891; Cézanne et moi
80221550;TV Show;Archibald's Next Big Thing;;Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren;;2019-09-06;2019;TV-Y7;1 Season;Kids' TV, TV Comedies;Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!;/title/tt9165404/;7.8;126; Archibald's Next Big Thing
81154455;Movie;Article 15;Anubhav Sinha;Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade;India;2019-09-06;2019;TV-MA;125 min;Dramas, International Movies, Thrillers;The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.;/title/tt10324144/;8.2;15825; Article 15
81052275;Movie;Ee Nagaraniki Emaindi;Tharun Bhascker;Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary;India;2019-09-06;2018;TV-14;133 min;Comedies, International Movies;In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.;/title/tt8490894/;7.8;1289; Ee Nagaraniki Emaindi
80178151;TV Show;The Spy;;Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes;France;2019-09-06;2019;TV-MA;1 Season;International TV Shows, TV Dramas, TV Thrillers;In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.;/title/tt5952634/;7.9;19703; The Spy
