free sulfur dioxide,total sulfur dioxide,pH,sulphates,quality
11,34,3.51,0.56,bad
25,67,3.2,0.68,bad
15,54,3.26,0.65,bad
17,60,3.16,0.58,bad
11,34,3.51,0.56,bad
13,40,3.51,0.56,bad
15,59,3.3,0.46,bad
15,21,3.39,0.47,good
9,18,3.36,0.57,good
17,102,3.35,0.8,bad
15,65,3.28,0.54,bad
17,102,3.35,0.8,bad
16,59,3.58,0.52,bad
9,29,3.26,1.56,bad
52,145,3.16,0.88,bad
51,148,3.17,0.93,bad
35,103,3.3,0.75,good
16,56,3.11,1.28,bad
6,29,3.38,0.5,bad
17,56,3.04,1.08,bad
29,60,3.39,0.53,bad
23,71,3.52,0.65,bad
10,37,3.17,0.91,bad
9,67,3.17,0.53,bad
21,40,3.43,0.63,bad
11,23,3.34,0.56,bad
4,11,3.28,0.59,bad
10,37,3.17,0.91,bad
14,35,3.47,0.55,bad
8,16,3.38,0.59,bad
17,82,3.35,0.54,bad
22,37,3.46,0.57,bad
15,113,3.17,0.66,bad
40,83,3.45,0.52,bad
13,50,3.38,0.55,bad
5,18,3.4,0.55,bad
3,15,3.42,0.6,bad
13,30,3.23,0.73,good
7,19,3.5,0.48,bad
12,87,3.33,0.83,bad
12,87,3.33,0.83,bad
17,46,3.26,0.51,bad
8,14,3.21,0.9,bad
9,23,3.3,1.2,bad
5,11,3.48,0.52,bad
8,65,3.9,0.56,bad
22,114,3.25,0.73,bad
12,37,3.25,0.58,bad
5,12,3.34,0.56,bad
12,96,3.32,0.58,bad
4,23,3.15,0.74,bad
8,15,3.4,0.63,bad
6,14,3.39,0.64,bad
30,119,3.2,0.56,bad
33,73,3.17,0.63,bad
25,45,3.34,0.53,bad
4,10,3.04,0.63,bad
50,110,3.26,0.77,bad
17,54,3.43,0.59,bad
9,46,3.41,0.54,bad
19,52,3.44,0.64,bad
20,112,3.21,0.71,bad
12,35,3.38,0.62,good
13,54,3.39,0.57,bad
4,11,3.41,0.39,bad
4,11,3.41,0.39,bad
11,39,3.42,0.58,bad
6,15,3.44,0.58,bad
27,65,3.28,0.79,bad
8,19,3.34,0.95,bad
15,27,3.32,0.54,bad
17,96,3.32,0.48,bad
18,94,3.31,0.48,bad
11,43,3.31,0.53,bad
28,83,3.28,0.82,bad
9,42,3.54,0.66,bad
9,42,3.54,0.66,bad
14,30,3.52,0.55,bad
