residual sugar,alcohol,density,quality
1.9,9.4,0.9978,bad
2.6,9.8,0.9968,bad
2.3,9.8,0.997,bad
1.9,9.8,0.998,bad
1.9,9.4,0.9978,bad
1.8,9.4,0.9978,bad
1.6,9.4,0.9964,bad
1.2,10,0.9946,good
2,9.5,0.9968,good
6.1,10.5,0.9978,bad
1.8,9.2,0.9959,bad
6.1,10.5,0.9978,bad
1.6,9.9,0.9943,bad
1.6,9.1,0.9974,bad
3.8,9.2,0.9986,bad
3.9,9.2,0.9986,bad
1.8,10.5,0.9969,good
1.7,9.3,0.9968,bad
4.4,9,0.9974,bad
1.8,9.2,0.9969,bad
1.8,9.4,0.9968,bad
2.3,9.7,0.9982,bad
1.6,9.5,0.9966,bad
2.3,9.4,0.9968,bad
2.4,9.7,0.9968,bad
1.4,9.3,0.9955,bad
1.8,9.5,0.9962,bad
1.6,9.5,0.9966,bad
1.9,9.4,0.9972,bad
2,9.8,0.9964,bad
2.4,10.1,0.9958,bad
2.5,10.6,0.9966,bad
2.3,9.8,0.9966,bad
10.7,9.4,0.9993,bad
1.8,9.2,0.9957,bad
5.5,9.6,0.9986,bad
2.4,10.8,0.9975,bad
2.1,9.7,0.9968,good
1.5,9.8,0.994,bad
5.9,10.5,0.9978,bad
5.9,10.5,0.9978,bad
2.8,9.3,0.9976,bad
2.6,10.5,0.9968,bad
2.2,10.3,0.9968,bad
1.8,9.5,0.9962,bad
2.1,13.1,0.9934,bad
2.2,9.2,0.997,bad
1.6,9.5,0.9969,bad
1.6,9.2,0.9958,bad
1.4,9.2,0.9954,bad
1.7,9.2,0.9971,bad
2.2,9.4,0.9956,bad
2.1,9.4,0.9955,bad
3,9.4,0.997,bad
2.8,10.2,0.9955,bad
3.8,9.5,0.9978,bad
3.4,9.6,0.9971,bad
5.1,9.4,0.9983,bad
2.3,10,0.9975,bad
2.4,9.4,0.9962,bad
2.2,9.2,0.998,bad
1.8,9.3,0.9968,bad
1.9,9.5,0.9968,good
2,9.8,0.9966,bad
4.65,10.9,0.9962,bad
4.65,10.9,0.9962,bad
1.5,9.6,0.9968,bad
1.6,10.7,0.9962,bad
2,10.7,0.9969,bad
1.9,10.5,0.9962,bad
1.9,9.5,0.9967,bad
2.1,9.5,0.9962,bad
1.9,9.5,0.9961,bad
2.1,9.2,0.9976,bad
2.5,9.6,0.9984,bad
2.2,10.5,0.9986,bad
2.2,10.5,0.9986,bad
2.4,10.7,0.9966,bad
2,10.1,0.9958,bad
1.5,9.1,0.9972,bad
1.6,9.2,0.9958,bad
1.9,9.4,0.9974,bad
2,9.1,0.997,bad
1.8,9.4,0.9969,bad
1.8,10.3,0.9959,bad
2.2,10.1,0.9961,bad
1.9,9.9,0.9972,bad
1.9,9.6,0.9966,bad
2.1,9.5,0.9978,bad
1.8,9,0.9978,bad
1.9,9.5,0.9964,bad
1.9,9.9,0.9972,bad
2,9.8,0.9972,bad
1.9,9.6,0.9966,bad
1.4,10.5,0.9938,bad
2.3,12.9,0.9932,bad
3,10.7,0.9965,bad
2,9.2,0.9963,bad
2.5,9.8,0.9967,bad
1.9,9,0.9972,bad
2.1,10.2,0.9972,bad
1.9,10.4,0.9959,bad
1.9,9,0.9972,bad
2.1,9.2,0.9967,bad
2.2,9.4,0.996,bad
2.1,9.2,0.9967,bad
1.7,9.3,0.9973,bad
1.7,9.3,0.9969,bad
2.5,9.6,0.9976,bad
2,9.3,0.9969,bad
1.8,9.5,0.9964,bad
2.2,9.8,0.9964,bad
2.2,9.8,0.9964,bad
2.3,9.7,0.9988,bad
1.8,9.5,0.9964,bad
2.2,10.5,0.9966,bad
