residual sugar,density,alcohol,quality
1.9,0.9978,9.4,bad
2.6,0.9968,9.8,bad
2.3,0.997,9.8,bad
1.9,0.998,9.8,bad
1.9,0.9978,9.4,bad
1.8,0.9978,9.4,bad
1.6,0.9964,9.4,bad
1.2,0.9946,10,good
2,0.9968,9.5,good
6.1,0.9978,10.5,bad
1.8,0.9959,9.2,bad
6.1,0.9978,10.5,bad
1.6,0.9943,9.9,bad
1.6,0.9974,9.1,bad
3.8,0.9986,9.2,bad
3.9,0.9986,9.2,bad
1.8,0.9969,10.5,good
1.7,0.9968,9.3,bad
4.4,0.9974,9,bad
1.8,0.9969,9.2,bad
1.8,0.9968,9.4,bad
2.3,0.9982,9.7,bad
1.6,0.9966,9.5,bad
2.3,0.9968,9.4,bad
2.4,0.9968,9.7,bad
1.4,0.9955,9.3,bad
1.8,0.9962,9.5,bad
1.6,0.9966,9.5,bad
1.9,0.9972,9.4,bad
2,0.9964,9.8,bad
2.4,0.9958,10.1,bad
2.5,0.9966,10.6,bad
2.3,0.9966,9.8,bad
10.7,0.9993,9.4,bad
1.8,0.9957,9.2,bad
5.5,0.9986,9.6,bad
2.4,0.9975,10.8,bad
2.1,0.9968,9.7,good
1.5,0.994,9.8,bad
5.9,0.9978,10.5,bad
5.9,0.9978,10.5,bad
2.8,0.9976,9.3,bad
2.6,0.9968,10.5,bad
2.2,0.9968,10.3,bad
1.8,0.9962,9.5,bad
2.1,0.9934,13.1,bad
2.2,0.997,9.2,bad
1.6,0.9969,9.5,bad
1.6,0.9958,9.2,bad
1.4,0.9954,9.2,bad
1.7,0.9971,9.2,bad
2.2,0.9956,9.4,bad
2.1,0.9955,9.4,bad
3,0.997,9.4,bad
2.8,0.9955,10.2,bad
3.8,0.9978,9.5,bad
3.4,0.9971,9.6,bad
5.1,0.9983,9.4,bad
2.3,0.9975,10,bad
2.4,0.9962,9.4,bad
2.2,0.998,9.2,bad
1.8,0.9968,9.3,bad
1.9,0.9968,9.5,good
2,0.9966,9.8,bad
4.65,0.9962,10.9,bad
4.65,0.9962,10.9,bad
1.5,0.9968,9.6,bad
1.6,0.9962,10.7,bad
2,0.9969,10.7,bad
1.9,0.9962,10.5,bad
1.9,0.9967,9.5,bad
2.1,0.9962,9.5,bad
1.9,0.9961,9.5,bad
2.1,0.9976,9.2,bad
2.5,0.9984,9.6,bad
2.2,0.9986,10.5,bad
2.2,0.9986,10.5,bad
2.4,0.9966,10.7,bad
2,0.9958,10.1,bad
1.5,0.9972,9.1,bad
1.6,0.9958,9.2,bad
1.9,0.9974,9.4,bad
2,0.997,9.1,bad
1.8,0.9969,9.4,bad
1.8,0.9959,10.3,bad
2.2,0.9961,10.1,bad
1.9,0.9972,9.9,bad
1.9,0.9966,9.6,bad
2.1,0.9978,9.5,bad
1.8,0.9978,9,bad
1.9,0.9964,9.5,bad
1.9,0.9972,9.9,bad
2,0.9972,9.8,bad
1.9,0.9966,9.6,bad
1.4,0.9938,10.5,bad
2.3,0.9932,12.9,bad
3,0.9965,10.7,bad
2,0.9963,9.2,bad
2.5,0.9967,9.8,bad
1.9,0.9972,9,bad
2.1,0.9972,10.2,bad
1.9,0.9959,10.4,bad
1.9,0.9972,9,bad
2.1,0.9967,9.2,bad
2.2,0.996,9.4,bad
2.1,0.9967,9.2,bad
1.7,0.9973,9.3,bad
1.7,0.9969,9.3,bad
2.5,0.9976,9.6,bad
2,0.9969,9.3,bad
1.8,0.9964,9.5,bad
2.2,0.9964,9.8,bad
2.2,0.9964,9.8,bad
2.3,0.9988,9.7,bad
1.8,0.9964,9.5,bad
2.2,0.9966,10.5,bad
1.9,0.9978,10,bad
2,0.997,9.4,bad
2.2,0.9962,10.9,bad
1.8,0.9959,9.2,bad
1.7,0.9962,9,bad
2.2,0.9962,10.9,bad
2.5,0.998,9.2,bad
2.6,0.9976,9.5,bad
1.6,0.996,9.5,bad
1.9,0.9984,9.4,bad
1.7,0.9964,10.9,bad
1.8,0.9964,10.9,bad
1.8,0.9962,10.5,good
1.8,0.9955,9.4,bad
2,0.9968,9.4,bad
2.3,0.9937,13,bad
2.3,0.9937,13,bad
1.5,0.9952,9.8,bad
2.2,0.9959,9.9,bad
1.9,0.9965,9.6,bad
1.8,0.9968,9.5,bad
2,0.9972,9.2,bad
2.1,0.9962,9.5,bad
2,0.9962,9.5,bad
1.9,0.9965,9.6,bad
1.8,0.9968,9.5,bad
1.8,0.9916,14,bad
1.7,0.9954,9.4,bad
1.8,0.9916,14,bad
1.8,0.9968,9.4,bad
1.8,0.9944,10,bad
1.6,0.9968,9.3,bad
2.3,0.9959,10.2,bad
2.8,0.9975,10.5,bad
2.1,0.9958,10.3,bad
3.4,0.9996,9.4,bad
1.8,0.995,10.1,bad
1.8,0.995,10.1,bad
5.5,0.9973,10.5,bad
5.5,0.9973,10.5,bad
5.5,0.9973,10.5,bad
5.5,0.9973,10.5,bad
2.2,0.9969,9.3,bad
1.9,0.9968,9.3,bad
2,0.9959,9.6,bad
1.3,0.9965,9.2,bad
1.7,0.9964,10,bad
7.3,0.9982,9.4,bad
7.2,0.9981,9.4,bad
1.7,0.9961,9.5,bad
2.1,0.9956,10.2,bad
1.6,0.9956,9,bad
2.1,0.9953,10.4,bad
1.8,0.9964,9.5,bad
1.8,0.9972,9.1,bad
2,0.9972,9.2,bad
2,0.9972,9.2,bad
1.9,0.9961,11.5,bad
2,0.9961,9.5,bad
1.5,0.9958,9.5,bad
2,0.9961,9.5,bad
2.3,0.9972,10.5,bad
2.5,0.9969,9.6,bad
