residual sugar,chlorides,quality
1.9,0.076,bad
2.6,0.098,bad
2.3,0.092,bad
1.9,0.075,bad
1.9,0.076,bad
1.8,0.075,bad
1.6,0.069,bad
1.2,0.065,good
2,0.073,good
6.1,0.071,bad
1.8,0.097,bad
6.1,0.071,bad
1.6,0.089,bad
1.6,0.114,bad
3.8,0.176,bad
3.9,0.17,bad
1.8,0.092,good
1.7,0.368,bad
4.4,0.086,bad
1.8,0.341,bad
1.8,0.077,bad
2.3,0.082,bad
1.6,0.106,bad
2.3,0.084,bad
2.4,0.085,bad
1.4,0.08,bad
1.8,0.08,bad
1.6,0.106,bad
1.9,0.08,bad
2,0.082,bad
2.4,0.089,bad
2.5,0.105,bad
2.3,0.083,bad
10.7,0.073,bad
1.8,0.103,bad
5.5,0.086,bad
2.4,0.086,bad
2.1,0.066,good
1.5,0.172,bad
5.9,0.074,bad
5.9,0.074,bad
2.8,0.088,bad
2.6,0.332,bad
2.2,0.069,bad
1.8,0.05,bad
2.1,0.054,bad
2.2,0.114,bad
1.6,0.113,bad
1.6,0.066,bad
1.4,0.074,bad
1.7,0.074,bad
2.2,0.069,bad
2.1,0.068,bad
3,0.081,bad
2.8,0.11,bad
3.8,0.084,bad
3.4,0.07,bad
5.1,0.111,bad
2.3,0.076,bad
2.4,0.074,bad
2.2,0.079,bad
1.8,0.115,bad
1.9,0.085,good
2,0.081,bad
4.65,0.086,bad
4.65,0.086,bad
1.5,0.079,bad
1.6,0.076,bad
2,0.074,bad
1.9,0.074,bad
1.9,0.076,bad
2.1,0.088,bad
1.9,0.084,bad
2.1,0.084,bad
2.5,0.094,bad
2.2,0.093,bad
2.2,0.093,bad
2.4,0.104,bad
2,0.086,bad
1.5,0.08,bad
1.6,0.069,bad
1.9,0.464,bad
2,0.086,bad
1.8,0.401,bad
1.8,0.069,bad
2.2,0.076,bad
1.9,0.11,bad
1.9,0.062,bad
2.1,0.107,bad
1.8,0.076,bad
1.9,0.079,bad
1.9,0.11,bad
2,0.11,bad
1.9,0.062,bad
1.4,0.045,bad
2.3,0.058,bad
3,0.102,bad
2,0.07,bad
2.5,0.079,bad
1.9,0.08,bad
2.1,0.084,bad
1.9,0.075,bad
1.9,0.08,bad
2.1,0.077,bad
2.2,0.07,bad
2.1,0.077,bad
1.7,0.467,bad
1.7,0.088,bad
2.5,0.091,bad
2,0.122,bad
1.8,0.104,bad
2.2,0.084,bad
2.2,0.085,bad
2.3,0.08,bad
1.8,0.104,bad
2.2,0.09,bad
1.9,0.077,bad
2,0.082,bad
2.2,0.119,bad
1.8,0.097,bad
1.7,0.178,bad
2.2,0.119,bad
2.5,0.075,bad
2.6,0.08,bad
1.6,0.082,bad
1.9,0.146,bad
1.7,0.081,bad
1.8,0.082,bad
1.8,0.065,good
1.8,0.072,bad
2,0.118,bad
2.3,0.049,bad
2.3,0.049,bad
1.5,0.06,bad
2.2,0.084,bad
1.9,0.09,bad
1.8,0.089,bad
2,0.081,bad
2.1,0.081,bad
2,0.081,bad
1.9,0.09,bad
1.8,0.089,bad
1.8,0.05,bad
1.7,0.066,bad
1.8,0.05,bad
1.8,0.117,bad
1.8,0.087,bad
1.6,0.236,bad
2.3,0.074,bad
2.8,0.089,bad
2.1,0.077,bad
3.4,0.61,bad
1.8,0.095,bad
1.8,0.095,bad
5.5,0.07,bad
5.5,0.071,bad
5.5,0.07,bad
5.5,0.071,bad
2.2,0.073,bad
1.9,0.079,bad
2,0.09,bad
1.3,0.072,bad
1.7,0.076,bad
7.3,0.07,bad
7.2,0.07,bad
1.7,0.1,bad
2.1,0.085,bad
1.6,0.072,bad
2.1,0.089,bad
1.8,0.36,bad
1.8,0.058,bad
2,0.073,bad
2,0.073,bad
1.9,0.068,bad
2,0.08,bad
1.5,0.085,bad
2,0.08,bad
2.3,0.087,bad
2.5,0.068,bad
2.4,0.067,bad
2.4,0.067,bad
2,0.27,bad
2.5,0.076,bad
1.8,0.077,bad
1.9,0.079,bad
2,0.111,bad
2,0.082,bad
2.6,0.084,bad
2,0.084,bad
1.9,0.082,bad
2.9,0.077,bad
1.9,0.074,bad
3.8,0.099,bad
2.2,0.071,bad
2.2,0.071,bad
2,0.074,bad
2.4,0.074,bad
2,0.067,bad
1.2,0.046,good
2.1,0.061,bad
1.4,0.056,good
2.1,0.097,bad
1.5,0.075,bad
1.6,0.088,bad
1.6,0.089,bad
2.6,0.095,good
2.6,0.095,good
1.8,0.069,bad
2.7,0.1,bad
2.1,0.054,good
2,0.039,bad
2.8,0.083,bad
2.1,0.059,bad
2.2,0.06,bad
2.4,0.092,bad
5.6,0.06,bad
2,0.101,bad
2.2,0.072,bad
1.9,0.076,bad
2.4,0.08,bad
2,0.082,bad
2,0.101,bad
1.5,0.057,bad
2,0.083,bad
2,0.089,bad
2.6,0.073,bad
2,0.337,bad
2.6,0.089,bad
2.6,0.073,bad
2.6,0.081,bad
1.6,0.054,good
1.8,0.078,bad
2.8,0.09,bad
2.6,0.081,bad
2.3,0.065,bad
1.9,0.097,bad
1.9,0.097,bad
1.9,0.097,bad
1.9,0.097,bad
2.3,0.065,bad
1.7,0.263,bad
2.1,0.093,bad
1.8,0.102,bad
2.2,0.075,good
2.2,0.075,good
2,0.084,bad
1.9,0.075,bad
2.3,0.072,bad
1.7,0.074,bad
2,0.084,bad
1.6,0.063,bad
1.8,0.074,bad
3.1,0.09,bad
1.9,0.092,bad
1.8,0.074,bad
3.2,0.073,bad
2.2,0.075,bad
2.1,0.075,bad
1.8,0.611,bad
2.6,0.085,good
1.7,0.077,bad
2,0.087,bad
1.7,0.07,bad
1.8,0.077,bad
2.4,0.064,bad
1.8,0.071,good
3.3,0.096,bad
3.6,0.078,good
3,0.077,bad
4,0.104,bad
4,0.087,bad
4,0.104,bad
4,0.071,bad
2.4,0.076,bad
7,0.088,bad
4,0.087,bad
3,0.077,bad
4,0.104,bad
6.4,0.073,good
5.6,0.087,good
3.6,0.071,bad
3.5,0.358,good
3,0.067,bad
5.6,0.087,good
3.4,0.102,bad
3.4,0.102,bad
2,0.073,bad
3,0.092,bad
2.5,0.091,good
3.3,0.105,bad
2.5,0.091,good
2,0.343,bad
2.7,0.091,bad
2.4,0.098,bad
3.2,0.094,bad
2.5,0.073,bad
2.6,0.086,bad
2,0.083,bad
2.3,0.094,bad
2.1,0.08,bad
2.6,0.086,bad
1.5,0.068,bad
2.6,0.092,bad
1.6,0.186,bad
2.1,0.112,bad
2.5,0.063,bad
2.2,0.082,bad
2.4,0.213,bad
2.4,0.214,bad
1.7,0.062,bad
2.5,0.063,bad
2,0.072,bad
2.8,0.093,bad
3,0.076,bad
2.6,0.087,bad
2.5,0.096,bad
3.4,0.102,bad
2.9,0.082,bad
3.2,0.083,good
2.9,0.082,bad
3.2,0.083,good
3.4,0.09,bad
2.3,0.079,bad
2.8,0.09,bad
11,0.071,bad
11,0.071,bad
3.65,0.121,good
4.5,0.107,bad
2.6,0.082,bad
2,0.061,bad
2.9,0.122,bad
2.9,0.122,bad
3.2,0.066,bad
2.1,0.105,bad
2.5,0.078,good
3.4,0.128,good
1.9,0.052,bad
2.8,0.08,bad
3,0.103,bad
2.3,0.082,good
2.4,0.066,bad
2.7,0.065,bad
1.8,0.118,bad
1.8,0.118,bad
2.6,0.082,bad
1.9,0.067,bad
2.7,0.072,good
3,0.093,bad
2.8,0.089,bad
2.6,0.093,bad
2.7,0.107,bad
2.6,0.096,bad
2.4,0.09,bad
4.8,0.12,bad
1.4,0.066,bad
2.4,0.078,bad
3,0.08,bad
2.95,0.116,good
3.1,0.109,good
2.6,0.088,bad
2,0.099,bad
2.6,0.086,bad
2.5,0.072,bad
2,0.071,bad
5.8,0.083,good
3.4,0.107,bad
5.8,0.083,good
2.6,0.076,bad
2.8,0.159,bad
2.4,0.074,good
2.3,0.063,bad
1.6,0.056,bad
1.8,0.067,bad
2.2,0.106,bad
3.8,0.089,bad
4.4,0.124,good
3,0.078,bad
2.4,0.074,good
6.2,0.088,bad
2.5,0.094,bad
2,0.08,bad
2.9,0.085,bad
2,0.08,bad
2,0.08,bad
2.1,0.087,bad
2.4,0.09,bad
2,0.088,bad
1.9,0.079,bad
1.9,0.088,bad
2.5,0.096,good
1.4,0.045,good
2.9,0.085,bad
2,0.082,bad
2,0.112,bad
2.3,0.063,bad
4.2,0.066,good
7.9,0.122,bad
2.6,0.087,bad
2.6,0.087,bad
2.3,0.064,bad
7.9,0.122,bad
1.7,0.059,bad
2.6,0.085,bad
2.7,0.085,bad
2.7,0.075,bad
1.4,0.059,bad
2.5,0.063,bad
3,0.093,good
3.7,0.174,bad
4.5,0.07,bad
2.5,0.08,bad
2.4,0.08,bad
1.9,0.1,bad
6.7,0.097,good
2.7,0.087,bad
6.6,0.117,bad
2.2,0.111,bad
1.9,0.091,bad
2,0.121,bad
1.8,0.066,bad
2.4,0.089,good
2.3,0.059,good
2,0.047,bad
2.1,0.066,good
2,0.047,bad
2.3,0.059,good
2.1,0.045,bad
1.9,0.077,bad
1.3,0.07,bad
2.4,0.088,bad
2.1,0.066,good
2.2,0.074,bad
2.3,0.078,bad
2.3,0.091,bad
3.2,0.076,bad
2.3,0.091,bad
2,0.06,bad
3.2,0.066,bad
3.2,0.076,bad
1.5,0.062,bad
2.2,0.072,good
2.15,0.068,bad
3.7,0.1,good
2.7,0.077,good
1.7,0.054,good
2.1,0.079,bad
2.6,0.081,bad
2.1,0.127,bad
2,0.1,bad
2.8,0.095,bad
2.8,0.095,bad
1.8,0.413,bad
1.7,0.084,bad
2.8,0.084,good
1.6,0.063,bad
5.2,0.086,good
2.3,0.095,bad
2.7,0.097,bad
2.8,0.084,good
2.2,0.074,bad
2.3,0.083,bad
2.6,0.087,bad
2.55,0.085,bad
2.2,0.098,bad
2.1,0.084,bad
2.9,0.098,bad
2,0.069,bad
2.6,0.065,bad
2.1,0.09,bad
1.2,0.07,bad
2.6,0.093,bad
2.4,0.081,bad
2.6,0.083,bad
2.1,0.062,bad
1.7,0.08,bad
2.2,0.087,bad
2,0.091,bad
1.8,0.075,bad
2.2,0.087,bad
2.7,0.077,bad
15.5,0.069,bad
2.8,0.08,good
2.2,0.152,bad
2.2,0.152,bad
4.1,0.114,bad
1.9,0.054,bad
1.9,0.054,bad
1.8,0.053,bad
2.8,0.081,good
2.6,0.073,bad
2.8,0.078,bad
2.5,0.055,good
2.6,0.052,good
3,0.086,bad
8.3,0.051,bad
2.6,0.07,good
1.9,0.081,bad
2.5,0.09,bad
2.6,0.07,good
3,0.086,bad
1.9,0.081,bad
6.55,0.074,good
6.55,0.074,good
1.9,0.078,good
1.8,0.077,good
2.9,0.072,good
1.8,0.075,good
2.3,0.084,bad
2.2,0.09,bad
2.8,0.084,good
4.6,0.073,bad
2.2,0.09,bad
2.1,0.125,bad
2.4,0.107,good
2.4,0.107,good
6.1,0.122,bad
4.3,0.1,bad
2.1,0.2,bad
2.8,0.088,bad
2.5,0.088,bad
2.7,0.088,bad
2,0.088,bad
2.3,0.099,bad
2.5,0.085,bad
2.4,0.086,bad
2.8,0.105,bad
2.5,0.088,bad
2.5,0.097,bad
2.6,0.084,bad
2.4,0.077,bad
2.1,0.078,bad
2.7,0.098,bad
2.7,0.098,bad
2.1,0.072,bad
2.7,0.102,bad
2.1,0.078,bad
2.4,0.077,bad
2.1,0.084,bad
5.8,0.066,good
5.15,0.1,bad
3.3,0.101,bad
6.3,0.064,bad
2.1,0.07,bad
2.5,0.085,bad
1.8,0.075,bad
2.6,0.094,bad
2,0.078,bad
2.5,0.067,bad
2.6,0.079,bad
1.9,0.171,bad
2.1,0.074,bad
2.8,0.092,bad
2.7,0.092,bad
1.6,0.05,bad
4.2,0.095,bad
4.2,0.095,bad
4.6,0.118,bad
4.2,0.095,bad
4.6,0.118,bad
4.3,0.085,bad
2.8,0.075,bad
2.4,0.078,bad
2.9,0.094,bad
2.7,0.092,bad
4.3,0.085,bad
2.8,0.075,bad
2.5,0.226,bad
2.5,0.226,bad
2.6,0.25,bad
2.2,0.095,bad
3.3,0.07,bad
2.2,0.095,bad
2.4,0.075,bad
2.1,0.07,bad
3.2,0.078,bad
3.1,0.079,bad
2.3,0.103,bad
2.8,0.083,bad
2.9,0.085,bad
2.2,0.063,bad
2.2,0.089,bad
2.2,0.089,bad
2.2,0.083,bad
1.9,0.074,good
3.4,0.093,good
2.4,0.091,bad
2.7,0.094,good
1.9,0.108,bad
2,0.06,good
2.6,0.059,good
