fixed acidity,volatile acidity,citric acid,pH,quality
7.4,0.7,0,3.51,bad
7.8,0.88,0,3.2,bad
7.8,0.76,0.04,3.26,bad
11.2,0.28,0.56,3.16,bad
7.4,0.7,0,3.51,bad
7.4,0.66,0,3.51,bad
7.9,0.6,0.06,3.3,bad
7.3,0.65,0,3.39,good
7.8,0.58,0.02,3.36,good
7.5,0.5,0.36,3.35,bad
6.7,0.58,0.08,3.28,bad
7.5,0.5,0.36,3.35,bad
5.6,0.615,0,3.58,bad
7.8,0.61,0.29,3.26,bad
8.9,0.62,0.18,3.16,bad
8.9,0.62,0.19,3.17,bad
8.5,0.28,0.56,3.3,good
8.1,0.56,0.28,3.11,bad
7.4,0.59,0.08,3.38,bad
7.9,0.32,0.51,3.04,bad
8.9,0.22,0.48,3.39,bad
7.6,0.39,0.31,3.52,bad
7.9,0.43,0.21,3.17,bad
8.5,0.49,0.11,3.17,bad
6.9,0.4,0.14,3.43,bad
6.3,0.39,0.16,3.34,bad
7.6,0.41,0.24,3.28,bad
7.9,0.43,0.21,3.17,bad
7.1,0.71,0,3.47,bad
7.8,0.645,0,3.38,bad
6.7,0.675,0.07,3.35,bad
6.9,0.685,0,3.46,bad
8.3,0.655,0.12,3.17,bad
6.9,0.605,0.12,3.45,bad
5.2,0.32,0.25,3.38,bad
7.8,0.645,0,3.4,bad
7.8,0.6,0.14,3.42,bad
8.1,0.38,0.28,3.23,good
5.7,1.13,0.09,3.5,bad
7.3,0.45,0.36,3.33,bad
7.3,0.45,0.36,3.33,bad
8.8,0.61,0.3,3.26,bad
7.5,0.49,0.2,3.21,bad
8.1,0.66,0.22,3.3,bad
6.8,0.67,0.02,3.48,bad
4.6,0.52,0.15,3.9,bad
7.7,0.935,0.43,3.25,bad
8.7,0.29,0.52,3.25,bad
6.4,0.4,0.23,3.34,bad
5.6,0.31,0.37,3.32,bad
8.8,0.66,0.26,3.15,bad
6.6,0.52,0.04,3.4,bad
6.6,0.5,0.04,3.39,bad
8.6,0.38,0.36,3.2,bad
7.6,0.51,0.15,3.17,bad
7.7,0.62,0.04,3.34,bad
10.2,0.42,0.57,3.04,bad
7.5,0.63,0.12,3.26,bad
7.8,0.59,0.18,3.43,bad
7.3,0.39,0.31,3.41,bad
8.8,0.4,0.4,3.44,bad
7.7,0.69,0.49,3.21,bad
7.5,0.52,0.16,3.38,good
7,0.735,0.05,3.39,bad
7.2,0.725,0.05,3.41,bad
7.2,0.725,0.05,3.41,bad
7.5,0.52,0.11,3.42,bad
6.6,0.705,0.07,3.44,bad
9.3,0.32,0.57,3.28,bad
8,0.705,0.05,3.34,bad
7.7,0.63,0.08,3.32,bad
7.7,0.67,0.23,3.32,bad
7.7,0.69,0.22,3.31,bad
8.3,0.675,0.26,3.31,bad
