Cocktail Name;Category;Alcoholic;Glassware;Preparation;PreparationDE;PreparationIT;DrinkThumb;Ingredients;Bartender;Bar/Company;Location;Garnish;Notes
Flor de Amaras;N/A;N/A;N/A;*Hibiscus Simple Syrup: 1:1 w/ a cup of dried hibiscus steeping for 30-40 min;N/A;N/A;N/A;1.5 oz Mezcal, 1 oz Hibiscus Simple Syrup, 0.5 oz Lime Juice, 1 top Soda Water;Kelly McCarthy;N/A;Boston;Marigold Petals;N/A
The Happy Place;N/A;N/A;N/A;*House-made Cranberry syrup:  -- 2 cups Fresh Cranberries -- 1 cup Sugar -- 1 cup Water -- 2 Bay Leaves -- .25 cup Pink Peppercorns -- Half Serrano Chile -- 4 Sprigs Fresh Rosemary  Add all ingredients to a pot and heat thoroughly. Simmer on low until cranberries cook down for 25 minutes. Strain and let cool.;N/A;N/A;N/A;2 oz Junipero Gin, .75 oz House-made Cranberry Syrup, .5 oz Lemon Juice, .5 oz Cranberry Juice, .25 oz Lillet Blanc, 4 dash Forgery Earth Day Bitters, 1 mist Laphroaig;Elizabeth Montana;Forgery & Verso;San Francisco;Dehydrated Lemon Wheel, Sprig of Rosemary;Junipero Gin 20th Anniversary Signature Cocktail
Bon Voyage Pisco Punch;N/A;N/A;Punch Bowl;*Pineapple Gomme:  Mix equal parts (1.5 cups) gum arabic with water over high heat until it all mixes and then let cool for a bit. Then you're gonna make a sugar syrup with 2 parts sugar, 1 part water (4 cups water, 2 cups white granulated sugar) in the same manner over high heat until it mixes, and then add the gum syrup to the mix until everything dissolves and what you're left with is a thick gummy syrup that resembles a whole lot of baby batter. Then cut up 1.5 cups of pineapple chunks, put in mason jar, and pour the gum syrup over it and let it sit in the refrigerator over night. A few hours would work also if you don't have that much time. However, the more time, the more pineapple infusion takes place. When it's ready, strain into another mason jar or bottle, and it's ready to go.;N/A;N/A;N/A;1500 ml BarSol Selecto Italia Pisco, 750 ml Lemon Juice, 750 ml Pineapple Gomme Syrup, .5 oz Fee Bros Lemon Bitters, 1 float Old Vine Zin;Jon Morales;N/A;San Francisco;N/A;N/A
Still Life of a Pineapple;N/A;N/A;N/A;*Pineapple Syrup: <em>Equal parts pineapple blended with water and sugar and strained</em>;N/A;N/A;N/A;1.5 oz BarSol Primero Quebranta Pisco, .75 oz Dry Vermouth, .5 oz St. Germain, .25 oz Pineapple Syrup, 1 bsp Vieux Pontarlier Absinthe Francaise Superieure;Daniel Braganca;Backbar;Somerville;N/A;N/A
The Bittered Valley;N/A;N/A;N/A;1st glass ingredients: Luxardo Maraschino, Acid Phosphate  2nd glass ingredients: BarSol Quebranta Pisco, Luxardo Amaro Abano, Luxardo Fernet, Scrappy's Aromatic Bitters;N/A;N/A;N/A;1.25 oz Luxardo Maraschino Liqueur, 4 drops Acid phosphate, 2 oz BarSol Primero Quebranta Pisco, .75 oz Luxardo Amaro Abano, .25 oz Luxardo Fernet, 3 dash Scrappy's Aromatic Bitters;Nik Virrey;N/A;Seattle;N/A;N/A
OH Snap!;N/A;N/A;Collins;"Add 6-8 sugar snap peas to cocktail shaker. Lightly muddle the peas. Add all other ingredients except for the tonic. Shake and double strain into a collins glass. Top with tonic.   *House-made Simple Syrup:  -- 1 cup Sugar -- 1 cup Water  Add equal parts sugar and water into a small saucepan, bring to a boil; simmer until the sugar is dissolved, approximately 3 minutes. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.";N/A;N/A;N/A;1 oz Junipero Gin, 1 oz House-made Simple Syrup, 1 oz Manzanilla Sherry, .75 oz Lemon Juice, 2 dash Absinthe, 8 Sugar Snap Peas, 1 top Tonic;Kevin Diedrich;Pacific Cocktail Haven;San Francisco;N/A;Junipero Gin 20th Anniversary Signature Cocktail
Wabash Avenue Sour;N/A;N/A;Coupe;Add all ingredients and dry-shake (without ice), then add ice, and shake again. Strain into coupe and garnish with rhubarb bitters.;N/A;N/A;N/A;2 oz Bourbon, 1 oz Fresh Lemon Juice, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Small Hand Foods Pineapple Gum Syrup, .5 oz Egg White;Phillip Ricafort;American Oak;Alameda;Rhubarb Bitters;N/A
IPA Mule;N/A;N/A;Tin Cup;Add all ingredients except beer into shaker tin, shake vigorously for 10 seconds. Add beer in shaker tin then double strain into tin cup. Add mint for garish.;N/A;N/A;N/A;1.5 oz Hophead Vodka, .5 oz Ginger Liqueur, .75 oz Lime Juice, .5 oz Pure Cane Simple Syrup, 2 count Deschutes Fresh Squeezed IPA;Jon Ruiz;AMK Kitchen Bar;Chicago;Mint;N/A
Ritz Cocktail;N/A;N/A;Martini Glass;Add all ingredients except the champagne to a mixing glass and fill with ice. Stir, and strain into a martini glass. Fill with champagne and garnish with a flamed orange peel.;N/A;N/A;N/A;.75 oz Cognac, .5 oz Cointreau, .25 oz Luxardo Maraschino Liqueur, .25 oz Fresh Lemon Juice, 3 oz Champagne;Dale DeGroff;N/A;N/A;Orange Peel;N/A
King's Snap the Chocolate Out of You;N/A;N/A;Rocks Glass;Add all ingredients except the whip cream and ginger snap. Shake and double into a rocks glass with no ice. Top with marshmallow whip cream. Garnish with Ginger snap crumbles.;N/A;N/A;N/A;1 oz King's Ginger Liqueur, 1.5 oz Homemade milk chocolate, .75 oz Hazelnut Cinnamon syrup, 0.75 oz Marshmallow whip cream, 0.75 oz Ginger snaps;Ian Julian;N/A;New Orleans;Ginger snap crumbles;N/A
