Cocktail Name;Category;Alcoholic;Glassware;Preparation;PreparationDE;PreparationIT;DrinkThumb;Ingredients
155 Belmont;Cocktail;Alcoholic;White wine glass;Blend with ice. Serve in a wine glass. Garnish with carrot.;Mit Eis vermischen. In einem Weinglas servieren. Mit Karotte garnieren.;Miscela con ghiaccio.  Servire in un bicchiere da vino.  Guarnire con una carota.;https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg;1 shot Orange juice, 1 shot Vodka, 2 shots Light rum, 1 shot Dark rum
1-900-FUK-MEUP;Shot;Alcoholic;Old-fashioned glass;Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.;Die Zutaten in einem mit Eiswürfeln gefüllten Mischgefäß schütteln. In ein Rocks Glas abseihen.;Shakerare gli ingredienti in una teglia piena di cubetti di ghiaccio.  Filtrare in un bicchiere alto.;https://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg;1/4 oz Pineapple juice, 1/2 oz Cranberry juice, 1/4 oz Amaretto, 1/4 oz Malibu rum, 1/4 oz Midori melon liqueur, 1/4 oz Chambord raspberry liqueur, 1/4 oz Grand Marnier, 1/2 oz Absolut Kurant
110 in the shade;Beer;Alcoholic;Beer Glass;Drop shooter in glass. Fill with beer;Shooter tröpfchenweise in ein Glas geben. Mit Bier füllen.;Riempi un bicchierino di tequila.  Riempi un boccale di birra con la birra chiara.  Metti il bicchierino nella birra e bevi velocemente.;https://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg;1.5 oz Tequila, 16 oz Lager
151 Florida Bushwacker;Milk / Float / Shake;Alcoholic;Beer mug;Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.;Alle Zutaten vermengen. Mischen, bis alles glatt ist. Auf Wunsch mit Schokoladenraspeln garnieren.;Combina tutti gli ingredienti.  Frulla fino a che è liscio.  Guarnire con scaglie di cioccolato se lo si desidera.;https://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg;1 cup Vanilla ice-cream, 1 oz Coconut liqueur, 3 oz Milk, 1 oz Cointreau, 1 oz Dark Creme de Cacao, 1/2 oz Bacardi 151 proof rum, 1/2 oz Light rum, 1/2 oz Malibu rum
252;Shot;Alcoholic;Shot glass;Add both ingredients to shot glass, shoot, and get drunk quick;Beide Zutaten in ein Schnapsglas geben.;Aggiungi entrambi gli ingredienti al bicchierino, bevi e ubriacati velocemente;https://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg;1/2 shot Wild Turkey, 1/2 shot Bacardi 151 proof rum
24k nightmare;Shot;Alcoholic;Shot glass;Add over ice,shake and pour.;Über das Eis geben, schütteln und eingiessen.;Aggiungere gli ingredienti dopo aver versato un po’ di ghiaccio, agitare e versare.;https://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg;1/2 oz Bacardi 151 proof rum, 1/2 oz Rumple Minze, 1/2 oz Jägermeister, 1/2 oz Goldschlager
3 Wise Men;Shot;Alcoholic;Collins glass;put them them in a glass... and slam it to tha head.;In ein Glas geben... und ab in den Schädel.;mettetele in un bicchiere ... E buona fortuna!;https://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg;1/3 oz Jim Beam, 1/3 oz Johnnie Walker, 1/3 oz Jack Daniels
3-Mile Long Island Iced Tea;Ordinary Drink;Alcoholic;Collins Glass;Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.;Füllen Sie ein 12 cl. Glas mit Eis und Alkohol. Füllen Sie 2/3 des Glases mit Cola und den Rest mit Süß-Sauer. Mit einem Schuss Bitter und Zitronenkeil garnieren.;Riempi un bicchiere da almeno 400ml con ghiaccio e alcol. Riempire i restanti 2/3 di bicchiere di cola e il resto di bevanda sweet & sour. Completare con un pizzico di bitter e uno spicchio di limone.;https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg;Garnish with Lemon, 1 wedge Bitters, 1-2 dash Sweet and sour, 1/2 oz Coca-Cola, 1/2 oz Vodka, 1/2 oz Triple sec, 1/2 oz Tequila, 1/2 oz Light rum, 1/2 oz Gin
410 Gone;Ordinary Drink;Alcoholic;Collins Glass;;;Versa in un bicchiere tutti gli ingredienti. Agitare bene;https://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg;Coca-Cola, 2-3 oz Peach Vodka
50/50;Ordinary Drink;Alcoholic;Collins Glass;fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.;Glas mit zerstoßenem Eis füllen. Füge Wodka hinzu. Füge einen Spritzer Grand-Marnier hinzu. Füllen Sie mit o.j.;Riempire un bicchiere con ghiaccio tritato.  Aggiungi la vodka.  Aggiungi un tocco di grand-Marnier.  Riempi di succo d'arancia;https://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg;Fill with Orange juice, 1 splash Grand Marnier, 2 1/2 oz Vanilla vodka
501 Blue;Ordinary Drink;Alcoholic;Collins Glass;Mix equal amounts into a glass with ice.;Mische gleiche Mengen in ein Glas mit Eis.;Mescolare quantità uguali in un bicchiere con ghiaccio.;https://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg;7-Up, Sour mix, Vodka, Blueberry schnapps, Blue Curacao
57 Chevy with a White License Plate;Cocktail;Alcoholic;Highball glass;1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir;1. Füllen Sie ein Rocks Glas mit Eis 2. Geben Sie weiße Creme de Kakao und Wodka hinzu. 3. Umrühren.;1. Riempi un bicchiere di tipo highball con ghiaccio  2. Aggiungere la crema di cacao bianca e la vodka  3. mescolare;https://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg;1 oz Vodka, 1 oz white Creme de Cacao
69 Special;Ordinary Drink;Alcoholic;Collins Glass;Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.;Gießen Sie 6 cl. Gin. Füge 12 cl. 7-up hinzu. Füge Zitronensaft für den Geschmack hinzu. Wenn Sie zu schwach sind, füllen Sie das Glas mit mehr 7-Up auf.;Versare 60ml di Gin.  Aggiungi 120ml di  7 Up/Sprite.  Aggiungi il succo di limone per insaporire.  Se sei debole, rabbocca il bicchiere con più 7-Up/Sprite.;https://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg;0.75 oz Lemon juice, 4 oz 7-Up, 2 oz dry Gin
747;Shot;Alcoholic;Shot glass;pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!;Gießen Sie kaluha, dann Baileys, dann Frangelico nicht gekühlt und nicht geschichtet -- SERVE!!!!!!!!;Versa Kahlua, Baileys e poi Frangelico.;https://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg;1/3 part Frangelico, 1/3 part Baileys irish cream, 1/3 part Kahlua
747 Drink;Cocktail;Alcoholic;Highball glass;Fill a Collins glass with ice.  Pour in vodka, lime cordial, and cranberry juice.  Fill up with Sprite.  Garnish with a Lime wheel or some cranberries;N/A;Riempi un bicchiere Collins di ghiaccio.  Versare la vodka, lo sciroppo di lime e il succo di mirtillo rosso.  Riempi con Sprite.  Guarnire con una fetta di lime o dei mirtilli rossi;https://www.thecocktaildb.com/images/media/drink/i9suxb1582474926.jpg;Top Sprite, 1 oz Cranberry Juice, 1 oz Roses sweetened lime juice, 1 oz Vodka
